User;date;time;Device;Model;gt;x;y;z;dummy
d;24.02.2015;16:00:00.194;nexus4_2;nexus4;stairsup;0.7441864;-0.12602234;-0.03425598;;
d;24.02.2015;16:00:00.389;nexus4_1;nexus4;stairsup;-0.40107727;0.04434204;0.49609375;;
d;24.02.2015;16:00:00.583;nexus4_2;nexus4;stairsup;-0.0622406;-0.029891968;-0.036392212;;
d;24.02.2015;16:00:00.785;nexus4_2;nexus4;stairsup;-0.6080475;-0.44325256;-0.36109924;;
d;24.02.2015;16:00:00.988;nexus4_2;nexus4;stairsup;-0.7864227;-0.1164093;-0.22972107;;
d;24.02.2015;16:00:01.189;nexus4_1;nexus4;stairsup;1.1135101;0.28573608;0.12866211;;
d;24.02.2015;16:00:01.394;nexus4_2;nexus4;stairsup;0.3308258;0.63127136;0.20927429;;
d;24.02.2015;16:00:01.590;nexus4_2;nexus4;stairsup;0.6031952;0.22859192;-0.04386902;;
d;24.02.2015;16:00:01.791;nexus4_2;nexus4;stairsup;-0.48414612;-0.5511322;-0.28419495;;
d;24.02.2015;16:00:01.996;nexus4_1;nexus4;stairsup;0.40641785;-0.10412598;-0.76000977;;
d;24.02.2015;16:00:02.195;nexus4_2;nexus4;stairsup;-0.012039185;0.29481506;0.47416687;;
d;24.02.2015;16:00:02.399;nexus4_2;nexus4;stairsup;1.2889252;-0.22215271;-0.50956726;;
d;24.02.2015;16:00:02.600;nexus4_1;nexus4;stairsup;0.7343292;-0.54525757;-1.4831238;;
d;24.02.2015;16:00:02.802;nexus4_1;nexus4;stairsup;0.389328;-0.042175293;-1.9039612;;
d;24.02.2015;16:00:03.000;nexus4_1;nexus4;stairsup;0.8945465;0.039001465;-1.6625671;;
d;24.02.2015;16:00:03.212;nexus4_2;nexus4;stairsup;0.49745178;0.42939758;-1.9515228;;
d;24.02.2015;16:00:03.403;nexus4_2;nexus4;stairsup;1.0656891;0.13780212;-1.1087799;;
d;24.02.2015;16:00:03.606;nexus4_2;nexus4;stairsup;0.6181488;-0.42723083;-1.5317535;;
d;24.02.2015;16:00:03.807;nexus4_1;nexus4;stairsup;0.40107727;-0.099853516;-0.5656128;;
